filename,capacitor_name,combined_metric,per_trace_metric,trace_section,value,category
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,rms_mean,heavy_1,0.018606361271837762,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,rms_mean,sleep_1,0.01899563444954345,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,rms_mean,heavy_2,0.01843344492217758,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,rms_mean,sleep_2,0.019453407848368392,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,rms_mean,heavy_3,0.018480056060402924,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,env_mean,heavy_1,0.022948645513956034,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,env_mean,sleep_1,0.023556544320282584,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,env_mean,heavy_2,0.022814621519286923,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,env_mean,sleep_2,0.024131613071874027,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,env_mean,heavy_3,0.02285273300281527,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,peak_count,heavy_1,93.14828897338403,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,peak_count,sleep_1,87.1977186311787,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,peak_count,heavy_2,83.6083650190114,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,peak_count,sleep_2,90.6425855513308,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,peak_count,heavy_3,87.64638783269962,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,mean,heavy_1,0.0010445006670490391,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,mean,sleep_1,0.0011686923015041947,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,mean,heavy_2,0.0013905884401533251,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,mean,sleep_2,0.0008440627300226305,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,mean,heavy_3,0.0012006166811595633,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,median,heavy_1,0.0013943830812794906,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,median,sleep_1,0.0016723597395761755,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,median,heavy_2,0.001724322618718696,category_1
../../new-traces/sleep-computation-comparison/C14/trace_*.csv,C14,mean,median,sleep_2,0.0012826870770272156,category_1
